,caseid,community,match_rate
894,1241020321,10,0.9
895,1240322925,11,1.0
896,1238908109,8,1.0
897,1237809495,14,1.0
898,1243168889,12,1.0
899,1235355691,13,0.9
900,1240798665,3,1.0
901,1237856405,8,1.0
902,1238618221,3,1.0
903,1242819515,6,1.0
904,1235770257,1,1.0
905,1239215991,10,1.0
906,1235704573,5,0.9
907,1234831351,10,1.0
908,1235675061,0,1.0
909,1236780597,13,1.0
910,1242357085,9,1.0
911,1232573157,10,0.9
912,1246667555,10,1.0
913,1245153803,15,1.0
914,1237570021,11,1.0
915,1237471361,11,1.0
916,1242308193,3,1.0
917,1253600579,10,0.9
918,1242485609,0,1.0
919,1237882041,12,1.0
920,1236961377,9,1.0
921,1241180383,9,1.0
922,1237647457,7,1.0
923,1239838723,1,1.0
924,1236713623,10,1.0
925,1240352709,13,1.0
926,1242392093,0,1.0
927,1238375613,10,1.0
928,1236922965,3,1.0
929,1238940359,7,1.0
930,1238906035,4,1.0
931,1244728587,1,1.0
932,1232445341,13,1.0
933,1242284723,2,1.0
934,1239037077,0,1.0
935,1242950313,9,1.0
936,1236986647,1,1.0
937,1240465859,12,1.0
938,1236356059,0,1.0
939,1238808121,11,1.0
940,1242287137,12,
941,1238681733,6,1.0
942,1244581389,13,1.0
943,1247688227,13,0.9
944,1236648193,6,1.0
945,1236802965,2,1.0
946,1235514629,11,1.0
947,1236450151,12,1.0
948,1240432337,9,1.0
949,1237798393,5,1.0
950,1236981251,1,1.0
951,1239676293,2,1.0
952,1240846073,7,1.0
953,1232799425,5,1.0
954,1238977271,2,1.0
955,1238942837,12,1.0
956,1235704905,11,1.0
957,1237005625,7,1.0
958,1237602651,14,1.0
959,1235322503,5,1.0
960,1235595603,8,1.0
961,1232856347,0,0.8
962,1245476513,1,0.9
963,1239767909,2,1.0
964,1250143499,7,1.0
965,1239526197,13,1.0
966,1236986243,11,1.0
967,1235692387,4,0.9
968,1235681305,14,0.9
969,1238453845,9,1.0
970,1238713171,11,1.0
971,1238877839,3,1.0
972,1237568195,4,1.0
973,1238968297,3,0.9
974,1236986011,2,1.0
975,1237525417,13,0.9
976,1236712827,0,0.9
977,1243946689,2,1.0
978,1238346975,8,1.0
979,1245424181,8,1.0
980,1242239669,4,1.0
981,1232691077,3,1.0
982,1240378911,12,1.0
983,1239086837,3,1.0
984,1239330403,1,1.0
985,1242896237,0,0.9
986,1247684685,8,1.0
987,1247685299,6,1.0
988,1246454783,15,1.0
989,1238289109,1,1.0
990,1237914993,8,1.0
991,1256030957,3,1.0
992,1238172703,7,1.0
993,1237471407,6,1.0
994,1247685391,9,1.0
995,1255720617,4,1.0
996,1236741969,2,1.0
997,1231138163,5,1.0
998,1236689157,0,0.9
999,1236356781,0,1.0
1000,1238243917,2,1.0
1001,1242432175,2,1.0
1002,1238541097,4,1.0
1003,1245296923,7,1.0
1004,1250452245,10,1.0
1005,1239224177,4,1.0
1006,1232750055,13,1.0
1007,1244906001,10,1.0
1008,1238459927,9,1.0
1009,1240401653,4,1.0
1010,1247688027,9,1.0
1011,1237283989,6,1.0
1012,1238959575,9,1.0
1013,1239086833,7,1.0
1014,1243727441,10,1.0
1015,1236867885,9,1.0
1016,1235676317,5,1.0
1017,1255813523,4,1.0
1018,1232538525,9,1.0
1019,1239803849,1,1.0
1020,1256225713,8,1.0
1021,1243073107,8,
1022,1238935219,11,1.0
1023,1242411933,0,1.0
1024,1250396773,5,0.8
1025,1238729663,7,1.0
1026,1237027271,7,1.0
1027,1232943679,2,1.0
1028,1243634427,0,1.0
1029,1239867565,9,1.0
1030,1235793511,9,1.0
1031,1242660757,13,
1032,1249819241,7,1.0
1033,1241182451,3,1.0
1034,1238033593,2,0.9
1035,1236812529,3,1.0
1036,1237599503,5,1.0
1037,1241779205,11,1.0
1038,1237432373,1,1.0
1039,1237428053,6,1.0
1040,1243729473,6,1.0
1041,1243412135,8,1.0
1042,1238026299,12,0.9
1043,1240045331,11,1.0
1044,1242485377,11,1.0
1045,1232814869,6,1.0
1046,1237894385,0,1.0
1047,1245297729,12,1.0
1048,1240458877,11,1.0
1049,1239526317,7,1.0
1050,1237763379,4,1.0
1051,1234997127,2,0.8
1052,1247685999,6,1.0
1053,1249716143,8,1.0
1054,1234604021,5,1.0
1055,1241181521,4,1.0
1056,1249648435,9,1.0
1057,1256004905,9,1.0
1058,1236591899,10,1.0
1059,1239705035,9,1.0
1060,1242548603,5,1.0
1061,1244154547,4,1.0
1062,1237334025,6,1.0
1063,1234893053,7,1.0
1064,1255888935,7,1.0
1065,1232331101,1,1.0
1066,1232899065,0,1.0
1067,1236781183,0,1.0
1068,1240144325,13,1.0
1069,1236677851,0,1.0
